Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
547885,29/12/2020 19:17,371226000000000.0,"fraud_Medhurst, Cartwright and Ebert",personal_care,60.51,Stacy,Lambert,F,85430 Julie Trafficway Suite 792,Mulberry Grove,IL,62262,38.9311,-89.2463,1810,Race relations officer,24/12/1974,048c8b965dfcbdd9b023f6a5160beb0d,1388344623,39.205918,-88.295627,0
528140,26/12/2020 03:46,6596740000000000.0,fraud_Pouros-Haag,shopping_pos,2.36,Spencer,Williams,M,1145 Tony Drive Suite 080,Watertown,MN,55388,44.9595,-93.8482,5619,Licensed conveyancer,15/01/1959,828b54bd4d205f1114bce6fa8bc8f433,1388029564,44.826412,-93.239743,0
129300,04/08/2020 22:27,30551600000000.0,"fraud_Mante, Luettgen and Hackett",health_fitness,5.55,Morgan,Smith,F,1441 Bradley Place,Grover,NC,28073,35.1836,-81.4552,5621,Toxicologist,14/11/1973,383ac06cc8c02ef1e2c2bee329a30f77,1375655246,34.78713,-81.789226,0
354681,05/11/2020 11:29,6011390000000000.0,"fraud_Goldner, Kovacek and Abbott",grocery_pos,115.8,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,05/02/1951,506ea157ec09c9f04eb3ea8bed59d33a,1383650992,39.3421,-80.375392,0
182576,24/08/2020 12:08,6011350000000000.0,"fraud_Turner, Ziemann and Lehner",food_dining,8.3,Samuel,Johnston,M,16285 Jessica Lights,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,12/07/1980,5646a4a1c03bf24f0dcc364e0116f7cd,1377346098,33.62733,-87.25766,0
173522,21/08/2020 06:13,630442000000.0,"fraud_Robel, Cummerata and Prosacco",gas_transport,60.41,Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,26/07/1965,f5dda5a218cf6ac9c983019db72a8895,1377065634,32.756363,-98.765298,0
292435,09/10/2020 09:53,3521820000000000.0,"fraud_Schumm, Bauch and Ondricka",grocery_pos,114.04,Wayne,Marsh,M,172 Leonard Island,Dumont,CO,80436,39.7532,-105.6356,565,Mental health nurse,27/08/1978,2c02fff2bb6b487383894a7c180e1164,1381312420,38.875742,-106.596876,0
476299,14/12/2020 12:55,3575540000000000.0,fraud_Jewess LLC,shopping_pos,5.35,Rachel,Villarreal,F,250 Carrie Throughway,University,MS,38677,34.3396,-89.5736,4198,Curator,22/06/2001,85075dfd03e2ef0992e1b2c57202aa1e,1387025718,33.736678,-90.23363,0
182833,24/08/2020 13:30,3504180000000000.0,fraud_Renner Ltd,home,10.35,Drew,Garcia,M,70858 Jasmine Meadows Apt. 135,Lima,OH,45801,40.7641,-84.0973,86954,"Copywriter, advertising",23/07/1992,4f9ee429ecc233dca0256f7f88a2809d,1377351029,40.67987,-84.440994,0
42345,06/07/2020 02:16,4509140000000000.0,fraud_Murray-Smitham,grocery_pos,131.34,Margaret,Williams,F,165 Jerry Meadows Suite 460,Surrency,GA,31563,31.6489,-82.1982,1324,"Engineer, technical sales",12/07/1926,dd1f8fcae9408ebf2a5b654b197ec573,1373076978,31.325235,-82.331095,0
62771,13/07/2020 04:14,4986930000000000.0,"fraud_Jenkins, Hauck and Friesen",gas_transport,63.6,Erika,Gonzalez,F,907 Courtney Via Apt. 896,Irvine,KY,40336,37.6858,-83.9862,13061,"Editor, magazine features",18/06/1959,9cb8f06031eb5600d1a31dd5146530fd,1373688855,38.086252,-84.296137,0
457505,10/12/2020 03:00,213161000000000.0,fraud_Hackett-Lueilwitz,grocery_pos,87.29,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,09/02/1963,7a7aab2aead4d54db9a6a48e25ed16a2,1386644432,35.034802,-85.388888,0
283640,05/10/2020 11:28,4155020000000000.0,fraud_Kling-Grant,grocery_net,38.46,Renee,Parrish,F,174 Jennifer Meadow Apt. 467,Mountain Park,OK,73559,34.7032,-98.9591,540,Research scientist (life sciences),12/10/1983,af0ba74248aef84c8c6e3571fe096567,1380972496,33.990504,-98.093128,0
129572,04/08/2020 23:54,30199600000000.0,fraud_Ankunding-Carroll,travel,1.36,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,23/03/1977,131f739e44c6d87291f6b1fdc2bb99e9,1375660441,34.308536,-97.133883,0
262980,26/09/2020 16:25,213174000000000.0,fraud_Goyette-Herzog,travel,3.64,James,Bishop,M,7055 Fernandez Estates Apt. 676,Cecilton,MD,21913,39.4015,-75.8654,663,Podiatrist,14/01/1969,b492f488734fcf9b550edf1074d9163b,1380212752,39.944284,-75.398546,0
499092,19/12/2020 19:53,2720430000000000.0,fraud_Dooley Inc,shopping_pos,6.84,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",22/08/1997,4671b3e39ec9b6eafda4f2b79ff88cc4,1387482799,44.084961,-69.007131,0
341743,31/10/2020 01:04,4.46978e+18,fraud_Smitham-Boehm,grocery_net,26.4,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,22/11/1980,927358f95c0081d75815b9db6e8df861,1383181470,43.133488,-71.769613,0
